id(pk),tipo_asent
1380,COLONIA
1381,COLONIA
1382,COLONIA
1383,COLONIA
1384,FRACCIONAMIENTO
1385,COLONIA
1386,COLONIA
1387,COLONIA
1388,FRACCIONAMIENTO
1389,COLONIA
1390,FRACCIONAMIENTO
1391,COLONIA
1392,FRACCIONAMIENTO
1393,COLONIA
1394,COLONIA
1395,COLONIA
1396,COLONIA
1397,AMPLIACION
1398,CIUDAD
1399,FRACCIONAMIENTO
1400,COLONIA
1401,CIUDAD
1402,FRACCIONAMIENTO
1403,COLONIA
1404,COLONIA
1405,FRACCIONAMIENTO
1406,COLONIA
1407,FRACCIONAMIENTO
1408,COLONIA
1409,COLONIA
1410,COLONIA
1411,FRACCIONAMIENTO
1412,FRACCIONAMIENTO
1413,COLONIA
1414,FRACCIONAMIENTO
1415,COLONIA
1416,COLONIA
1417,COLONIA
1418,COLONIA
1419,COLONIA
1420,COLONIA
1421,FRACCIONAMIENTO
1422,COLONIA
1423,COLONIA
1424,COLONIA
1425,COLONIA
1426,COLONIA
1427,COLONIA
1428,EJIDO
1429,COLONIA
1430,FRACCIONAMIENTO
1431,COLONIA
1432,COLONIA
1433,COLONIA
1434,FRACCIONAMIENTO
1435,COLONIA
1436,COLONIA
1437,FRACCIONAMIENTO
1438,COLONIA
1439,COLONIA
1440,COLONIA
1441,FRACCIONAMIENTO
1442,COLONIA
1443,COLONIA
1444,COLONIA
1445,COLONIA
1446,COLONIA
1447,COLONIA
1448,COLONIA
1449,COLONIA
1450,COLONIA
1451,COLONIA
